id_ubigeo;distrito;provincia;departamento;latitud;longitud
010101;Chachapoyas;Chachapoyas;Amazonas;-6.2294;-77.8714
010102;Asuncion;Chachapoyas;Amazonas;-6.0317;-77.7122
010103;Balsas;Chachapoyas;Amazonas;-6.8375;-78.0214
010104;Cheto;Chachapoyas;Amazonas;-6.2558;-77.7003
010105;Chiliquin;Chachapoyas;Amazonas;-6.0778;-77.7392
010106;Chuquibamba;Chachapoyas;Amazonas;-6.9333;-77.8575
010107;Granada;Chachapoyas;Amazonas;-6.0997;-77.6344
010108;Huancas;Chachapoyas;Amazonas;-6.1747;-77.8686
010109;La Jalca;Chachapoyas;Amazonas;-6.4825;-77.8192
010110;Leimebamba;Chachapoyas;Amazonas;-6.6636;-77.8006
010111;Levanto;Chachapoyas;Amazonas;-6.3086;-77.8994
010112;Magdalena;Chachapoyas;Amazonas;-6.3736;-77.9017
010113;Mariscal Castilla;Chachapoyas;Amazonas;-6.5939;-77.8053
010114;Molinopampa;Chachapoyas;Amazonas;-6.2056;-77.6683
010115;Montevideo;Chachapoyas;Amazonas;-6.6133;-77.8025
010116;Olleros;Chachapoyas;Amazonas;-6.0239;-77.6761
010117;Quinjalca;Chachapoyas;Amazonas;-6.085;-77.66
010118;San Francisco de Daguas;Chachapoyas;Amazonas;-6.2333;-77.7392
010119;San Isidro de Maino;Chachapoyas;Amazonas;-6.3533;-77.8439
010120;Soloco;Chachapoyas;Amazonas;-6.2619;-77.7453
010121;Sonche;Chachapoyas;Amazonas;-6.2183;-77.7753
010201;Bagua;Bagua;Amazonas;-5.6389;-78.5319
010202;Aramango;Bagua;Amazonas;-5.4156;-78.4361
010203;Copallin;Bagua;Amazonas;-5.6733;-78.4228
010204;El Parco;Bagua;Amazonas;-5.6247;-78.4764
010205;Imaza;Bagua;Amazonas;-5.16;-78.2903
010206;La Peca;Bagua;Amazonas;-5.6092;-78.4344
010301;Jumbilla;Bongara;Amazonas;-5.9006;-77.7958
010302;Chisquilla;Bongara;Amazonas;-5.9003;-77.7839
010303;Churuja;Bongara;Amazonas;-6.0192;-77.9517
010304;Corosha;Bongara;Amazonas;-5.8294;-77.84
010305;Cuispes;Bongara;Amazonas;-5.9236;-77.9392
010306;Florida;Bongara;Amazonas;-5.8336;-77.9714
010307;Jazan;Bongara;Amazonas;-5.9419;-77.9806
010308;Recta;Bongara;Amazonas;-5.9194;-77.7861
010309;San Carlos;Bongara;Amazonas;-5.9636;-77.9447
010310;Shipasbamba;Bongara;Amazonas;-5.8744;-78.0692
010311;Valera;Bongara;Amazonas;-6.0425;-77.9139
010312;Yambrasbamba;Bongara;Amazonas;-5.6908;-77.9772
010401;Nieva;Condorcanqui;Amazonas;-4.5947;-77.8672
010402;El Cenepa;Condorcanqui;Amazonas;-4.4503;-78.1592
010403;Rio Santiago;Condorcanqui;Amazonas;-4.0106;-77.7658
010501;Lamud;Luya;Amazonas;-6.1308;-77.9503
010502;Camporredondo;Luya;Amazonas;-6.2136;-78.3186
010503;Cocabamba;Luya;Amazonas;-6.6297;-78.0303
010504;Colcamar;Luya;Amazonas;-6.3175;-78.0019
010505;Conila;Luya;Amazonas;-6.1592;-78.1419
010506;Inguilpata;Luya;Amazonas;-6.2428;-77.9561
010507;Longuita;Luya;Amazonas;-6.4147;-77.9681
010508;Lonya Chico;Luya;Amazonas;-6.2328;-77.9564
010509;Luya;Luya;Amazonas;-6.165;-77.9469
010510;Luya Viejo;Luya;Amazonas;-6.1275;-78.0847
010511;Maria;Luya;Amazonas;-6.4517;-77.9733
010512;Ocalli;Luya;Amazonas;-6.2347;-78.2667
010513;Ocumal;Luya;Amazonas;-6.3061;-78.2294
010514;Pisuquia;Luya;Amazonas;-6.5114;-78.0747
010515;Providencia;Luya;Amazonas;-6.3108;-78.2503
010516;San Cristobal;Luya;Amazonas;-6.0997;-77.9525
010517;San Francisco del Yeso;Luya;Amazonas;-6.5861;-77.8469
010518;San Jeronimo;Luya;Amazonas;-6.0344;-77.9669
010519;San Juan de Lopecancha;Luya;Amazonas;-6.4572;-77.8969
010520;Santa Catalina;Luya;Amazonas;-6.1117;-78.0633
010521;Santo Tomas;Luya;Amazonas;-6.5617;-77.8739
010522;Tingo;Luya;Amazonas;-6.3761;-77.9056
010523;Trita;Luya;Amazonas;-6.1519;-77.9806
010601;San Nicolas;Rodriguez de Mendoza;Amazonas;-6.3956;-77.4831
010602;Chirimoto;Rodriguez de Mendoza;Amazonas;-6.5283;-77.4869
010603;Cochamal;Rodriguez de Mendoza;Amazonas;-6.3933;-77.5889
010604;Huambo;Rodriguez de Mendoza;Amazonas;-6.4275;-77.5369
010605;Limabamba;Rodriguez de Mendoza;Amazonas;-6.5025;-77.5097
010606;Longar;Rodriguez de Mendoza;Amazonas;-6.3853;-77.5461
010607;Mariscal Benavides;Rodriguez de Mendoza;Amazonas;-6.3697;-77.5003
010608;Milpuc;Rodriguez de Mendoza;Amazonas;-6.4983;-77.4358
010609;Omia;Rodriguez de Mendoza;Amazonas;-6.4686;-77.3947
010610;Santa Rosa;Rodriguez de Mendoza;Amazonas;-6.4542;-77.4539
010611;Totora;Rodriguez de Mendoza;Amazonas;-6.4914;-77.4711
010612;Vista Alegre;Rodriguez de Mendoza;Amazonas;-6.1514;-77.3019
010701;Bagua Grande;Utcubamba;Amazonas;-5.7558;-78.4428
010702;Cajaruro;Utcubamba;Amazonas;-5.7364;-78.4267
010703;Cumba;Utcubamba;Amazonas;-5.9317;-78.6653
010704;El Milagro;Utcubamba;Amazonas;-5.6367;-78.5578
010705;Jamalca;Utcubamba;Amazonas;-5.9158;-78.2203
010706;Lonya Grande;Utcubamba;Amazonas;-6.0956;-78.4219
010707;Yamon;Utcubamba;Amazonas;-6.0525;-78.5322
020101;Huaraz;Huaraz;Ancash;-9.5272;-77.5333
020102;Cochabamba;Huaraz;Ancash;-9.4939;-77.8619
020103;Colcabamba;Huaraz;Ancash;-9.5956;-77.8108
020104;Huanchay;Huaraz;Ancash;-9.7236;-77.8197
020105;Independencia;Huaraz;Ancash;-9.5189;-77.5344
020106;Jangas;Huaraz;Ancash;-9.4014;-77.5767
020107;La Libertad;Huaraz;Ancash;-9.6333;-77.7442
020108;Olleros;Huaraz;Ancash;-9.6664;-77.4661
020109;Pampas;Huaraz;Ancash;-9.6556;-77.8272
020110;Pariacoto;Huaraz;Ancash;-9.5622;-77.8931
020111;Pira;Huaraz;Ancash;-9.5814;-77.7075
020112;Tarica;Huaraz;Ancash;-9.3919;-77.5769
020201;Aija;Aija;Ancash;-9.7819;-77.6114
020202;Coris;Aija;Ancash;-9.8211;-77.7225
020203;Huacllan;Aija;Ancash;-9.7975;-77.6747
020204;La Merced;Aija;Ancash;-9.7361;-77.6189
020205;Succha;Aija;Ancash;-9.8242;-77.6497
020301;Llamellin;Antonio Raymondi;Ancash;-9.1006;-77.0183
020302;Aczo;Antonio Raymondi;Ancash;-9.1525;-76.9903
020303;Chaccho;Antonio Raymondi;Ancash;-9.0586;-77.0594
020304;Chingas;Antonio Raymondi;Ancash;-9.12;-76.9947
020305;Mirgas;Antonio Raymondi;Ancash;-9.0792;-77.0933
020306;San Juan de Rontoy;Antonio Raymondi;Ancash;-9.1803;-77.0044
020401;Chacas;Asuncion;Ancash;-9.1622;-77.3694
020402;Acochaca;Asuncion;Ancash;-9.1139;-77.3697
020501;Chiquian;Bolognesi;Ancash;-10.1517;-77.1586
020502;Abelardo Pardo Lezameta;Bolognesi;Ancash;-10.2992;-77.1508
020503;Antonio Raymondi;Bolognesi;Ancash;-10.1575;-77.4703
020504;Aquia;Bolognesi;Ancash;-10.0742;-77.1464
020505;Cajacay;Bolognesi;Ancash;-10.1564;-77.4419
020506;Canis;Bolognesi;Ancash;-10.3381;-77.1711
020507;Colquioc;Bolognesi;Ancash;-10.3117;-77.6156
020508;Huallanca;Bolognesi;Ancash;-9.8994;-76.9444
020509;Huasta;Bolognesi;Ancash;-10.1225;-77.1458
020510;Huayllacayan;Bolognesi;Ancash;-10.2436;-77.4342
020511;La Primavera;Bolognesi;Ancash;-10.3344;-77.1253
020512;Mangas;Bolognesi;Ancash;-10.3694;-77.1039
020513;Pacllon;Bolognesi;Ancash;-10.2333;-77.0722
020514;San Miguel de Corpanqui;Bolognesi;Ancash;-10.285;-77.2
020515;Ticllos;Bolognesi;Ancash;-10.2522;-77.1911
020601;Carhuaz;Carhuaz;Ancash;-9.2806;-77.6469
020602;Acopampa;Carhuaz;Ancash;-9.2942;-77.6225
020603;Amashca;Carhuaz;Ancash;-9.2392;-77.6464
020604;Anta;Carhuaz;Ancash;-9.3569;-77.5978
020605;Ataquero;Carhuaz;Ancash;-9.2625;-77.6914
020606;Marcara;Carhuaz;Ancash;-9.3211;-77.6033
020607;Pariahuanca;Carhuaz;Ancash;-9.3642;-77.5828
020608;San Miguel de Aco;Carhuaz;Ancash;-9.3678;-77.5644
